Dataset,Model,k,N,Covered,Accuracy(%),Acc 95% CI,MacroF1,MCC,ECE(%),ECE 95% CI,Coverage(%)
AG News,DeepSeek-R1:7B,1,1000,966,77.74,"[75.01, 80.25]",0.7605,0.7123,22.26,"[19.67, 24.84]",96.6
AG News,DeepSeek-R1:7B,3,300,292,83.22,"[78.51, 87.07]",0.8179,0.7841,12.44,"[8.90, 17.01]",97.33
AG News,DeepSeek-R1:7B,5,300,284,84.15,"[79.46, 87.94]",0.8245,0.7948,10.28,"[7.18, 14.72]",94.67
AG News,LLaMA-3.2:3B,1,1000,996,62.25,"[59.20, 65.21]",0.5891,0.5243,37.75,"[34.84, 40.76]",99.6
AG News,LLaMA-3.2:3B,3,1000,980,65.31,"[62.27, 68.22]",0.6141,0.5691,25.48,"[22.62, 28.37]",98.0
AG News,LLaMA-3.2:3B,5,1000,978,65.03,"[61.99, 67.96]",0.6121,0.5647,24.68,"[21.86, 27.61]",97.8
DBpedia,DeepSeek-R1:7B,1,300,286,93.36,"[89.86, 95.71]",0.9307,0.9285,6.64,"[3.85, 9.79]",95.33
DBpedia,DeepSeek-R1:7B,3,300,293,95.56,"[92.56, 97.39]",0.9545,0.9523,7.17,"[4.66, 9.78]",97.67
DBpedia,DeepSeek-R1:7B,5,300,294,94.9,"[91.75, 96.88]",0.9476,0.9452,4.63,"[2.38, 7.07]",98.0
GoEmotions,DeepSeek-R1:7B,1,300,252,26.19,"[21.15, 31.95]",0.2039,0.1886,73.81,"[68.25, 78.97]",84.0
GoEmotions,DeepSeek-R1:7B,3,300,176,31.82,"[25.39, 39.02]",0.2451,0.2192,44.89,"[38.07, 51.71]",58.67
GoEmotions,DeepSeek-R1:7B,5,300,160,38.12,"[30.96, 45.85]",0.293,0.3051,34.62,"[27.12, 42.12]",53.33
