Dataset,Model,k,N_total,N_covered,N_abstain_no_majority,N_invalid_output,Coverage (%),Accuracy (%),Macro-F1,MCC,ECE (%),ECE_CI_low,ECE_CI_high
AG News,DeepSeek-R1:7B,1,1000,966,0,34,96.6,77.74,0.7605,0.7123,22.26,19.67,24.84
AG News,DeepSeek-R1:7B,3,300,292,8,0,97.33,83.22,0.8179,0.7841,12.44,9.02,16.78
AG News,DeepSeek-R1:7B,5,300,284,16,0,94.67,84.15,0.8245,0.7948,10.28,7.11,14.93
AG News,LLaMA-3.2,1,1000,996,0,4,99.6,62.25,0.5891,0.5243,37.75,34.84,40.76
AG News,LLaMA-3.2,3,1000,980,20,0,98.0,65.31,0.6141,0.5691,25.48,22.59,28.37
AG News,LLaMA-3.2,5,1000,978,22,0,97.8,65.03,0.6121,0.5647,24.68,21.76,27.59
DBpedia,DeepSeek-R1:7B,1,300,286,0,14,95.33,93.36,0.9307,0.9285,6.64,3.85,9.79
DBpedia,DeepSeek-R1:7B,3,300,293,7,0,97.67,95.56,0.9545,0.9523,7.17,4.66,9.67
DBpedia,DeepSeek-R1:7B,5,300,294,6,0,98.0,94.9,0.9476,0.9452,4.63,2.38,7.07
DBpedia,LLaMA-3.2,1,1000,998,0,2,99.8,94.79,0.1081,0.0,5.21,3.81,6.61
DBpedia,LLaMA-3.2,3,1000,995,5,0,99.5,96.28,0.109,0.0,1.88,1.24,3.12
DBpedia,LLaMA-3.2,5,1000,994,6,0,99.4,96.58,0.1092,0.0,1.63,0.91,2.72
GoEmotions,DeepSeek-R1:7B,1,300,252,0,48,84.0,26.19,0.2039,0.1886,73.81,68.25,78.97
GoEmotions,DeepSeek-R1:7B,3,300,176,121,3,58.67,31.82,0.2639,0.2192,44.89,37.88,51.52
GoEmotions,DeepSeek-R1:7B,5,300,160,140,0,53.33,38.12,0.3156,0.3051,34.62,27.25,41.88
GoEmotions,LLaMA-3.2,1,916,675,0,241,73.69,35.26,0.0172,0.0,64.74,61.19,68.3
GoEmotions,LLaMA-3.2,3,916,682,73,161,74.45,35.34,0.0181,0.0,60.22,56.6,63.83
GoEmotions,LLaMA-3.2,5,916,694,90,132,75.76,35.88,0.0177,0.0,58.21,54.55,61.84
