id,gold,gold_multi,pred,text,votes,top_votes,K,confidence,correct
0,OfficeHolder,OfficeHolder,OfficeHolder,Gideon Brand van Zyl.  The Rt. Hon. Gideon Brand van Zyl PC (pron. BRUNT FUN ZAIL rhymes with nail) (3 Jun 1873–1 Nov 1956) was Governor-General of the Union of South Africa from 1945 to 1950. He was the first South African-born holder of the office.Born in Cape Town he was the son of a prominent attorney and he joined the family firm after qualifying at the University of Cape Town.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 5, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
1,Film,Film,Film,Darkman.  Darkman is a 1990 American superhero action film directed and co-written by Sam Raimi. It is based on a short story Raimi wrote that paid homage to Universal's horror films of the 1930s.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 5, ""WrittenWork"": 0}",5,5,1.0,1
2,WrittenWork,WrittenWork,Company,The Dinosaur Heresies.  The Dinosaur Heresies: New Theories Unlocking the Mystery of the Dinosaurs and Their Extinction was a 1986 book published by Robert T. Bakker a prominent paleontologist.The book sums up the extant evidence which indicates that dinosaurs rather than being cold-blooded and wholly lizard-like were in fact warm-blooded agile creatures more similar to modern birds than to lizards or other reptiles.,"{""Company"": 2, ""EducationalInstitution"": 1, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 2}",2,5,0.4,0
3,Film,Film,Film,27A.  27A is a 1974 Australian film directed by Esben Storm. At the AFI Awards it won in the Best Actor (Robert McDarra) and Best Fiction (Haydn Keenan) categories.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 5, ""WrittenWork"": 0}",5,5,1.0,1
4,Plant,Plant,Plant,Olearia chathamica.  Olearia chathamica is a species of flowering plant in the Asteraceae family.It is found only in New Zealand.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 5, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
5,Album,Album,Album,Second (Baroness album).  Second is the second official recording by the metal band Baroness. It was recorded in one session with the exception of the vocals. The art work was done by Baroness singer John Baizley.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 5, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
6,Building,Building,Building,The City Rooms (Leicester).  The City Rooms is located in the heart of the City of Leicester in England. It has been designated by English Heritage as a grade I listed building.Outside in Hotel Street there is the statue of the Seamstress although not intended to represent any particular person it serves as a reminder of the importance the hosiery industry once played in Leicester. The Seamstress is shown putting a seam into a stocking and was sculpted by James Butler,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 5, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
7,OfficeHolder,OfficeHolder,OfficeHolder,Nicolás Bravo.  Nicolás Bravo Rueda (10 September 1786 – 22 April 1854) was a Mexican politician and soldier. He distinguished himself in both roles during the 1846–1848 U.S. invasion of Mexico.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 5, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
8,OfficeHolder,OfficeHolder,OfficeHolder,Essad Pasha Toptani.  Essad Pasha Toptani or Esad Pasha Toptani (Albanian: Esad Pashë Toptani; c.. 1863 – 13 June 1920) primarily known as Essad Pasha was Ottoman army officer Albanian deputy in the Ottoman parliament and politician in the early 20th century in Albania. He was cooperating with the Balkan League after the Balkan Wars and established a state in central Albania based in Durrës called the Republic of Central Albania.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 5, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
9,Company,Company,Company,XL Group.  XL Group plc (NYSE: XL) is a global insurance company headquartered in Ireland with executive offices in Hamilton Bermuda and Stamford Connecticut USA. The company has approximately 4000 employees and about 60 offices on Africa Asia Australia Europe North America and South America. Formerly XL Capital Ltd the company officially changed its name and domicile on 1 July 2010.,"{""Company"": 5, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
