id,gold,pred,text,votes,top_votes,K,confidence,correct
0,World,World,"Israeli Soldiers Kill Palestinian Gunman in Gaza -Army (Reuters) Reuters - Israeli soldiers shot and killed a\Palestinian gunman on Monday as he approached a military\outpost near a Jewish settlement in the southern Gaza Strip, a\military source said.","{""World"": 5, ""Sports"": 0, ""Business"": 0, ""Sci/Tech"": 0}",5,5,1.0,1
1,Sci/Tech,Business,"CRM Best Practices: TCO and ROI (NewsFactor) NewsFactor - With CRM projects costing millions, even in some mid-size companies, it is no surprise CFOs are leading the charge to be sure the most important projects are first, that they are justified, and that they actually deliver on their forecast benefits.","{""World"": 0, ""Sports"": 0, ""Business"": 5, ""Sci/Tech"": 0}",5,5,1.0,0
2,Sci/Tech,Sci/Tech,"Intel calls for Internet overhaul The Net needs a new layer of abilities that will deal with imminent problems of capacity, security and reliability, Intel's CTO says.","{""World"": 0, ""Sports"": 0, ""Business"": 0, ""Sci/Tech"": 5}",5,5,1.0,1
3,Sci/Tech,ABSTAIN,"Qualcomm: A  quot;Wireless Intel quot;? Qualcomm began life in 1985 in a very unremarkable way -- in founder Irwin Jacobs #39; den. The space was small and crowded. The founding crew consisted of seven people, who were enthusiastic but low key.","{""World"": 1, ""Sports"": 0, ""Business"": 0, ""Sci/Tech"": 2}",0,5,0.0,0
4,World,World,"Peruvian Maoist trial thrown into chaos The first hearing in the re-trial of former leaders of Peru #39;s Shining Path guerrilla group has ended in chaos. The judge suspended the hearing after the group #39;s founder, Abimael Guzman, and his 15 co-defendants ","{""World"": 5, ""Sports"": 0, ""Business"": 0, ""Sci/Tech"": 0}",5,5,1.0,1
5,Business,Business,"Enron to Pay \$321 Million in Pensions  HOUSTON (Reuters) - Enron Corp. will pay \$321 million from  the proceeds of its sale of its pipeline arm to fund pension  plans for thousands of former employees, a government pension  agency said on Monday.","{""World"": 0, ""Sports"": 0, ""Business"": 5, ""Sci/Tech"": 0}",5,5,1.0,1
6,Business,Business,"Post-Olympic Greece tightens purse, sells family silver to fill budget holes (AFP) AFP - Squeezed by a swelling public deficit and debt following last month's costly Athens Olympics, the Greek government said it would cut defence spending and boost revenue by 1.5 billion euros (1.84 billion dollars) in privatisation receipts.","{""World"": 1, ""Sports"": 0, ""Business"": 4, ""Sci/Tech"": 0}",4,5,0.8,1
7,World,World,Court imposes lawyer on Milosevic The UN tribunal in The Hague says it will impose a defence lawyer on former Yugoslav leader Slobodan Milosevic.,"{""World"": 5, ""Sports"": 0, ""Business"": 0, ""Sci/Tech"": 0}",5,5,1.0,1
8,Business,Business,"Japan GDP Hurts Yen, U.S. Trade Data Eyed  LONDON (Reuters) - The yen fell against other major  currencies on Friday on a surprising downward revision to  Japanese growth, while the dollar hit three-week lows against  the euro on worries about the U.S. trade deficit.","{""World"": 0, ""Sports"": 0, ""Business"": 5, ""Sci/Tech"": 0}",5,5,1.0,1
9,World,World,Taiwan votes on leaner parliament A vote is due to be held in Taiwan on plans to halve the number of seats in the island's famously heated legislature.,"{""World"": 5, ""Sports"": 0, ""Business"": 0, ""Sci/Tech"": 0}",5,5,1.0,1
10,Sci/Tech,Sci/Tech,Shuttle to launch without repair kit? The CAIB report urged NASA to develop a way for astronauts during flight to inspect the orbiter and make emergency repairs to its insulation tiles and reinforced carbon-carbon panels.,"{""World"": 0, ""Sports"": 0, ""Business"": 0, ""Sci/Tech"": 5}",5,5,1.0,1
