Dataset,Model,k,N,Valid-Output Rate(%),MMV Coverage of Valid(%),Overall Coverage(%),Full-Parse Split(%),Capped: Insufficient(%),Split: Sufficient(%),Covered w/ Partial Parse(%),Abstained(n),ParserFailure(n)
AG News,DeepSeek-R1:7B,1,1000,96.6,100.0,96.6,N/A,N/A,N/A,0.0,0,34
AG News,DeepSeek-R1:7B,3,300,100.0,97.33,97.33,12.5,25.0,62.5,6.2,8,0
AG News,DeepSeek-R1:7B,5,300,100.0,94.67,94.67,12.5,6.2,81.2,8.5,16,0
AG News,LLaMA-3.2:3B,1,1000,99.6,100.0,99.6,N/A,N/A,N/A,0.0,0,4
AG News,LLaMA-3.2:3B,3,1000,100.0,98.0,98.0,70.0,0.0,30.0,0.2,20,0
AG News,LLaMA-3.2:3B,5,1000,100.0,97.8,97.8,86.4,9.1,4.5,0.2,22,0
DBpedia,DeepSeek-R1:7B,1,300,95.33,100.0,95.33,N/A,N/A,N/A,0.0,0,14
DBpedia,DeepSeek-R1:7B,3,300,100.0,97.67,97.67,0.0,28.6,71.4,10.9,7,0
DBpedia,DeepSeek-R1:7B,5,300,100.0,98.0,98.0,0.0,16.7,83.3,16.0,6,0
GoEmotions,DeepSeek-R1:7B,1,300,84.0,100.0,84.0,N/A,N/A,N/A,0.0,0,48
GoEmotions,DeepSeek-R1:7B,3,300,99.0,59.26,58.67,34.7,18.2,47.1,23.3,121,3
GoEmotions,DeepSeek-R1:7B,5,300,100.0,53.33,53.33,16.4,15.0,68.6,45.0,140,0
