Dataset,Model,k,Accuracy (%),Macro-F1,MCC,ECE (%),Coverage (%),N
AG News,DeepSeek-R1:7B,1,77.74,0.7605,0.7123,22.26,96.60,1000
AG News,LLaMA-3.2,1,62.25,0.5891,0.5243,37.75,99.60,1000
AG News,LLaMA-3.2,3,64.40,0.6055,0.5584,25.23,100.00,1000
AG News,LLaMA-3.2,5,64.30,0.6062,0.5567,32.42,100.00,1000
DBpedia,LLaMA-3.2,1,73.18,0.7067,0.7194,26.82,97.70,1000
DBpedia,LLaMA-3.2,3,74.22,0.7201,0.7318,15.28,99.70,1000
DBpedia,LLaMA-3.2,5,74.85,0.7317,0.7383,19.44,99.80,1000
GoEmotions,LLaMA-3.2,1,20.35,0.1466,0.1433,79.65,97.30,1000
GoEmotions,LLaMA-3.2,3,19.44,0.1388,0.1344,60.39,99.30,1000
GoEmotions,LLaMA-3.2,5,20.10,0.1416,0.1453,86.15,99.50,1000
